x_px,y_px
9.803267822265625000e+02,5.381918334960937500e+02
9.832742309570312500e+02,5.383554687500000000e+02
9.862226562500000000e+02,5.385086669921875000e+02
9.891722412109375000e+02,5.386515502929687500e+02
9.921228027343750000e+02,5.387844238281250000e+02
9.950742797851562500e+02,5.389080200195312500e+02
9.980266113281250000e+02,5.390228881835937500e+02
1.000979736328125000e+03,5.391296997070312500e+02
1.003933593750000000e+03,5.392290039062500000e+02
1.006888061523437500e+03,5.393215332031250000e+02
1.009843139648437500e+03,5.394077758789062500e+02
1.012798706054687500e+03,5.394884643554687500e+02
1.015754638671875000e+03,5.395641479492187500e+02
1.018711059570312500e+03,5.396355590820312500e+02
1.021667602539062500e+03,5.397031860351562500e+02
1.024624389648437500e+03,5.397677001953125000e+02
1.027581298828125000e+03,5.398297119140625000e+02
1.030538330078125000e+03,5.398899536132812500e+02
1.033495239257812500e+03,5.399488525390625000e+02
1.036452148437500000e+03,5.400072021484375000e+02
1.039408813476562500e+03,5.400655517578125000e+02
1.042365234375000000e+03,5.401245117187500000e+02
1.045321411132812500e+03,5.401846923828125000e+02
1.048277099609375000e+03,5.402468261718750000e+02
1.051232421875000000e+03,5.403114013671875000e+02
1.054187133789062500e+03,5.403790893554687500e+02
1.057141357421875000e+03,5.404505004882812500e+02
1.060094726562500000e+03,5.405263061523437500e+02
1.063047485351562500e+03,5.406071166992187500e+02
1.065999267578125000e+03,5.406934814453125000e+02
1.068950317382812500e+03,5.407861328125000000e+02
1.071900268554687500e+03,5.408855590820312500e+02
1.074849243164062500e+03,5.409925537109375000e+02
1.077796997070312500e+03,5.411075439453125000e+02
1.080743652343750000e+03,5.412313232421875000e+02
1.083688964843750000e+03,5.413643798828125000e+02
1.086633056640625000e+03,5.415067138671875000e+02
1.089576049804687500e+03,5.416575317382812500e+02
1.092518066406250000e+03,5.418161010742187500e+02
1.095459106445312500e+03,5.419815063476562500e+02
1.098399536132812500e+03,5.421529541015625000e+02
1.101339355468750000e+03,5.423297119140625000e+02
