s_m,x_m,y_m,kappa
1.267040761006959571e+01,-5.718790035426733454e+01,5.339992730508113539e+01,-1.781548438173463644e-02
1.284124761992497277e+01,-5.701856040441907680e+01,5.337733769789608118e+01,-1.743658843137417883e-02
1.301209006565303383e+01,-5.684929802784323272e+01,5.335415604268678891e+01,-1.704941404055783719e-02
1.318293722011622293e+01,-5.668008678715885651e+01,5.333056989814761550e+01,-1.672030289192256991e-02
1.335379054943186539e+01,-5.651095020633452748e+01,5.330641048662136683e+01,-1.635584352997923943e-02
1.352464841188585076e+01,-5.634186449953224951e+01,5.328186597771369293e+01,-1.594455572458341325e-02
1.369551558402255154e+01,-5.617285018747864456e+01,5.325677110104454215e+01,-1.558555103015574032e-02
1.386638824939200276e+01,-5.600388424410632382e+01,5.323131569394188745e+01,-1.524290891441265096e-02
1.403727502098112545e+01,-5.583498531383415298e+01,5.320532646430594781e+01,-1.485090872228571855e-02
1.420816815386768894e+01,-5.566613229237758986e+01,5.317899929178829410e+01,-1.449214454934817306e-02
1.437907407697282913e+01,-5.549734674059620687e+01,5.315216140695594760e+01,-1.413143813341539295e-02
1.454999242167977336e+01,-5.532859980056303328e+01,5.312500352068322229e+01,-1.373991767835592778e-02
1.472092219375214661e+01,-5.515992045917499098e+01,5.309735814548935195e+01,-1.338381886373002892e-02
1.489186259494954001e+01,-5.499127933335645224e+01,5.306941549987048745e+01,-1.301960864118138946e-02
1.506282003043816076e+01,-5.482269939520746505e+01,5.304100336861411336e+01,-1.264507864059778545e-02
1.523378977828681435e+01,-5.465415342107702656e+01,5.301231697316515579e+01,-1.228736766006831294e-02
1.540477113502023343e+01,-5.448567261842581644e+01,5.298318205445229978e+01,-1.190116819962053728e-02
1.557576938889360996e+01,-5.431721872179540611e+01,5.295379349310992012e+01,-1.152620801228347591e-02
1.574678052508250126e+01,-5.414882652753866665e+01,5.292397944249588448e+01,-1.117270065864371317e-02
1.591780651714701023e+01,-5.398046070039141142e+01,5.289393217621973520e+01,-1.081755632125840430e-02
1.608884641736802124e+01,-5.381215350079329340e+01,5.286348001650893025e+01,-1.043504643665445729e-02
1.625989858882324057e+01,-5.364387241828836750e+01,5.283281533600323598e+01,-1.006334492099238143e-02
1.643096861254377572e+01,-5.347564317878410378e+01,5.280176898369638394e+01,-9.704743817125868754e-03
1.660205189360471678e+01,-5.330743632821273792e+01,5.277052887359032241e+01,-9.325383482287155981e-03
1.677314630070842227e+01,-5.313928505281432990e+01,5.273893069762939945e+01,-8.968093694960094578e-03
1.694425789686105333e+01,-5.297114890350185590e+01,5.270715942708076085e+01,-8.593577823697710547e-03
1.711538162726196077e+01,-5.280306471181572903e+01,5.267504968383133246e+01,-8.223109098939538134e-03
1.728651866711143725e+01,-5.263499550482071498e+01,5.264279091651904707e+01,-7.883215731540564944e-03
1.745766453284819519e+01,-5.246697875701801905e+01,5.261021362662885537e+01,-7.513244612024142823e-03
1.762882758423529950e+01,-5.229896974265513876e+01,5.257750642171988176e+01,-7.129942730809154736e-03
1.779999945688186358e+01,-5.213100959097001663e+01,5.254450343047299299e+01,-6.742684875707934643e-03
1.797118460783463689e+01,-5.196305712245847275e+01,5.251139264329415113e+01,-6.392803482871934999e-03
1.814238188493260751e+01,-5.179514638649072822e+01,5.247800862866844085e+01,-6.046054667530427994e-03
1.831358560122707502e+01,-5.162724688889692715e+01,5.244453518873786635e+01,-5.676839619524204003e-03
1.848480079059734749e+01,-5.145938577206796083e+01,5.241081150969731794e+01,-5.326319644752949313e-03
1.865602239538590368e+01,-5.129153214870151345e+01,5.237701803297289871e+01,-4.943595577153788584e-03
1.882725503959328250e+01,-5.112371362116983420e+01,5.234299509571948761e+01,-4.553999925683970863e-03
1.899849672665080647e+01,-5.095589540129517303e+01,5.230892516081484445e+01,-4.198572156223261999e-03
1.916974197497059862e+01,-5.078811560559044125e+01,5.227464870788596585e+01,-3.858885369357354864e-03
1.934099220919194906e+01,-5.062033619117621441e+01,5.224034548909112630e+01,-3.507067555690430299e-03
1.951224919113377965e+01,-5.045258833397542020e+01,5.220585476181021534e+01,-3.120679471932852507e-03
1.968351048349028076e+01,-5.028483727536220727e+01,5.217135820265186652e+01,-2.734492178103445012e-03
1.985477745568827501e+01,-5.011711416030728827e+01,5.213669795969047982e+01,-2.390943857157967409e-03
2.002604452947888447e+01,-4.994938767837730609e+01,5.210205351101267723e+01,-2.042541382355201468e-03
2.019731686905740631e+01,-4.978168581138570659e+01,5.206726417195266521e+01,-1.664392137976181477e-03
2.036858815412042389e+01,-4.961397727524420276e+01,5.203251219370089586e+01,-1.298008382031570242e-03
2.053985696048966147e+01,-4.944629643086732074e+01,5.199763901684247003e+01,-9.383369439556975798e-04
2.071112770278413606e+01,-4.927860181811048790e+01,5.196282258367597962e+01,-5.799055482315165246e-04
2.088239822471488338e+01,-4.911092829106939206e+01,5.192790582534951227e+01,-2.136455451725779715e-04
2.105366672476932877e+01,-4.894324073054167457e+01,5.189306646319744942e+01,1.581226227716679364e-04
2.122493032281587233e+01,-4.877557422348109384e+01,5.185814995670048688e+01,5.136707694342525655e-04
2.139619104036283304e+01,-4.860789026893851172e+01,5.182333150234563135e+01,8.801412789369695254e-04
2.156744636120120617e+01,-4.844022360741399780e+01,5.178845636035770639e+01,1.178511766335647208e-03
2.173869413076733537e+01,-4.827253958877532369e+01,5.175370195812490692e+01,1.355614557276236219e-03
2.190993710246038262e+01,-4.810486965524992797e+01,5.171890326927237425e+01,1.452267118451327230e-03
2.208117492733977372e+01,-4.793717845006072764e+01,5.168423264234382231e+01,1.485185375450345921e-03
2.225240725658598961e+01,-4.776950131041718350e+01,5.164952115404320665e+01,1.505093195258241099e-03
2.242363063816298308e+01,-4.760180658723950842e+01,5.161493898787299628e+01,1.548461584719849037e-03
2.259485165436956677e+01,-4.743412247350070032e+01,5.158031711053444468e+01,1.577204306118332741e-03
2.276606685367931959e+01,-4.726641712325930200e+01,5.154582711234527892e+01,1.609965160700460845e-03
2.293727589137519374e+01,-4.709872605572823545e+01,5.151129827716308540e+01,1.658098872531299809e-03
2.310847878126582344e+01,-4.693101340168293945e+01,5.147690503393151573e+01,1.704212153217538354e-03
2.327967482492804407e+01,-4.676331529311269719e+01,5.144247496353425220e+01,1.724015404185863564e-03
2.345086785911904315e+01,-4.659559190603356882e+01,5.140818326800567206e+01,1.741400199537172094e-03
2.362205754318357265e+01,-4.642787985023264241e+01,5.137385289851829384e+01,1.802187260183457911e-03
2.379324007345915604e+01,-4.626014601972015328e+01,5.133966487761682629e+01,1.861556715297906298e-03
2.396441857894722105e+01,-4.609242337480131368e+01,5.130544214945911818e+01,1.878584243535999293e-03
2.413559343073199415e+01,-4.592467501251194051e+01,5.127136405043977874e+01,1.903136158746077848e-03
2.430676047318604205e+01,-4.575694172888874078e+01,5.123725097395222861e+01,1.938826767410266891e-03
2.447792666008156459e+01,-4.558917930462965273e+01,5.120328580733895762e+01,1.990107612945020768e-03
2.464908472486877855e+01,-4.542143218797433946e+01,5.116928598387569593e+01,2.044882816167033299e-03
2.482024127230552679e+01,-4.525365554569411586e+01,5.113543983142609051e+01,2.047588925228634518e-03
2.499139320490413496e+01,-4.508589061424591193e+01,5.110155898420501330e+01,2.072697685102916319e-03
2.516254019453753799e+01,-4.491809969593783336e+01,5.106783214335224130e+01,2.146452227662709947e-03
2.533368503362976298e+01,-4.475031739815792520e+01,5.103407334450516686e+01,2.173017400060026950e-03
2.550482462644015769e+01,-4.458250847383439464e+01,5.100047386318941989e+01,2.182926382504295996e-03
2.567596211586473842e+01,-4.441470853916852235e+01,5.096684021615735816e+01,2.231822390116069282e-03
2.584709371156285584e+01,-4.424688206803868695e+01,5.093336935369028140e+01,2.289482294865856360e-03
2.601822256220650331e+01,-4.407906473378572088e+01,5.089986672921331490e+01,2.318711679212491147e-03
2.618934904016099097e+01,-4.391121667623053071e+01,5.086653054718751577e+01,2.357031740408768901e-03
2.636046901132489495e+01,-4.374338161310360107e+01,5.083316235700112173e+01,2.373965786171574471e-03
2.653158910159463701e+01,-4.357551245416852481e+01,5.079996550816942147e+01,2.395647062789104092e-03
2.670270689906000428e+01,-4.340765280740756538e+01,5.076673239819330519e+01,2.491094175701673383e-03
2.687382071761681956e+01,-4.323976205769014314e+01,5.073367736740498657e+01,2.517869559473856836e-03
2.704493058980319375e+01,-4.307188141874829768e+01,5.070059142736823787e+01,2.510374979150460477e-03
2.721604070225298244e+01,-4.290396607938440354e+01,5.066768080007419428e+01,2.548710654365231310e-03
2.738714693308883952e+01,-4.273606054229426121e+01,5.063474035615907809e+01,2.594239641312983541e-03
2.755824931544007228e+01,-4.256812382716160670e+01,5.060197932814222810e+01,2.668684780205837596e-03
2.772935067725695291e+01,-4.240019370336213456e+01,5.056918985519304499e+01,2.686480686999372959e-03
2.790045105593539532e+01,-4.223222846400126684e+01,5.053658589913932531e+01,2.706339775618214500e-03
2.807154701494040694e+01,-4.206427401533871802e+01,5.050394956413822456e+01,2.781415248431336022e-03
2.824264486451617628e+01,-4.189628047525066279e+01,5.047150507896530769e+01,2.775240105670891740e-03
2.841373836703138167e+01,-4.172829727973967806e+01,5.043902997113116982e+01,2.788660122686179889e-03
2.858483036410327571e+01,-4.156027899021612626e+01,5.040674489954027138e+01,2.874819384480751302e-03
2.875592022980264417e+01,-4.139226806682190585e+01,5.037443280017720326e+01,2.910151611399774702e-03
2.892701214685099131e+01,-4.122421761646804583e+01,5.034231597880360454e+01,2.912544414186957285e-03
2.909810201645882799e+01,-4.105617476951002232e+01,5.031017029373284544e+01,2.968835542486570819e-03
2.926918988220301898e+01,-4.088809617505670957e+01,5.027822277596541056e+01,3.038375467993980217e-03
2.944027860300967347e+01,-4.072002147178842080e+01,5.024625021728560625e+01,3.032941406779954274e-03
2.961136475164020254e+01,-4.055191109790839477e+01,5.021447959489407964e+01,3.049652159547017009e-03
2.978244903033119684e+01,-4.038380807115319726e+01,5.018268017963281125e+01,3.139689959814306788e-03
2.995353712571051830e+01,-4.021566214423242513e+01,5.015108771786614028e+01,3.151405746084997520e-03
3.012462213649731524e+01,-4.004752393708807290e+01,5.011947088351794832e+01,3.171245031969844360e-03
3.029570824096558113e+01,-3.987934626413973405e+01,5.008805869696864477e+01,3.228195929068191413e-03
3.046679418890047586e+01,-3.971117244784930023e+01,5.005662672128951840e+01,3.243669900068634881e-03
3.063788068300478074e+01,-3.954295966389680927e+01,5.002540096621690680e+01,3.308005314617724381e-03
3.080896713003550502e+01,-3.937475054159069998e+01,4.999415575009339108e+01,3.376201924708784920e-03
3.098005706299269235e+01,-3.920649848873620158e+01,4.996312331755029135e+01,3.365612052682692007e-03
3.115114641735575773e+01,-3.903825044887778262e+01,4.993207232303851129e+01,3.362284857317495747e-03
3.132223589202901337e+01,-3.886996340477479350e+01,4.990123275217494836e+01,3.447783615530611127e-03
3.149332490567967824e+01,-3.870167993755016056e+01,4.987037622529953751e+01,3.530639983937532925e-03
3.166441636250787184e+01,-3.853335392991376551e+01,4.983973896444310014e+01,3.519060630436856435e-03
3.183551095823256105e+01,-3.836502769423002235e+01,4.980908543174724201e+01,3.488602699408366228e-03
3.200660812343247841e+01,-3.819665953909098732e+01,4.977864854172008080e+01,3.564014458501625453e-03
3.217770507001474556e+01,-3.802829459268582468e+01,4.974819513547774363e+01,3.779432100901978717e-03
3.234880345680545588e+01,-3.785988738401537290e+01,4.971796816026996879e+01,3.962434494026854936e-03
3.251990273379011143e+01,-3.769147952671794854e+01,4.968773975996228387e+01,4.187246933244428287e-03
3.269100521690594263e+01,-3.752302693754478469e+01,4.965774334468878237e+01,4.519152828983446363e-03
3.286210565836507413e+01,-3.735457300184799578e+01,4.962776614308868517e+01,4.789672023960835079e-03
3.303320640988358292e+01,-3.718607432918183520e+01,4.959803964850993907e+01,5.040480145982228870e-03
3.320430287829810112e+01,-3.701757424952994313e+01,4.956834579963133081e+01,5.355108092030025878e-03
3.337540032699159553e+01,-3.684902642149462793e+01,4.953891848894890870e+01,5.632807642683495923e-03
3.354649420702927642e+01,-3.668047298238025888e+01,4.950954411322674531e+01,5.897657175060936827e-03
3.371758346842906207e+01,-3.651187580960654344e+01,4.948044894697812879e+01,6.196841436850466199e-03
3.388866997472033660e+01,-3.634326907377977989e+01,4.945142548631611845e+01,6.497809286532185355e-03
3.405975272828837319e+01,-3.617461567205273099e+01,4.942269677847331621e+01,6.779203967129688105e-03
3.423083016867077788e+01,-3.600595213797632255e+01,4.939405934002901688e+01,7.031552123233020084e-03
3.440190194026380510e+01,-3.583724226088186526e+01,4.936573040770269927e+01,7.286577561434594806e-03
3.457297002784599016e+01,-3.566851822466274058e+01,4.933750824990155337e+01,7.581172116854480690e-03
3.474403005310277592e+01,-3.549974870483772804e+01,4.930960876211259603e+01,7.895681595012438506e-03
3.491508058323118036e+01,-3.533096768700900725e+01,4.928183734014847772e+01,8.172959709505000364e-03
3.508612777611873668e+01,-3.516213479247201690e+01,4.925440385847051772e+01,8.440650399003518656e-03
3.525716735001826407e+01,-3.499328630479318036e+01,4.922711422585476981e+01,8.753425449410998441e-03
3.542820147562007804e+01,-3.482438662130117280e+01,4.920017783714587267e+01,9.051988867935428784e-03
3.559922594082519254e+01,-3.465547041385053717e+01,4.917340690964626049e+01,9.320552770406213827e-03
3.577023950875545211e+01,-3.448650741393366559e+01,4.914700340466436757e+01,9.565846450598774683e-03
3.594124906980953682e+01,-3.431752007169055929e+01,4.912078226560594629e+01,9.825404327821148087e-03
3.611224647636147012e+01,-3.414848675675670364e+01,4.909493944281199873e+01,1.014181249060940211e-02
3.628323815274748654e+01,-3.397942846880048506e+01,4.906929868099391001e+01,1.047243542654269742e-02
3.645422303969988320e+01,-3.381031764132622186e+01,4.904405269919297439e+01,1.075751468707004596e-02
