x_m,y_m
-4.256813187892146289e+01,5.060193807340992578e+01
-4.240019150538630299e+01,5.056920114469899374e+01
-4.223223698146052385e+01,5.053654204313649245e+01
-4.206427184474177494e+01,5.050396076872242190e+01
-4.189628902003474309e+01,5.047146085905446000e+01
-4.172829558253474147e+01,5.043903877653492884e+01
-4.156028799464412060e+01,5.040669805876149212e+01
-4.139226625636286627e+01,5.037444224333179932e+01
-4.122422683009333610e+01,5.034226779264821516e+01
-4.105617325343317958e+01,5.031017824430836072e+01
-4.088810552638239670e+01,5.027817359831227861e+01
-4.072002011134333799e+01,5.024625739225758991e+01
-4.055192054591365292e+01,5.021442962614430883e+01
-4.038380683009333438e+01,5.018268676237477166e+01
-4.021567188868709053e+01,5.015103587614430580e+01
-4.004752279689021321e+01,5.011947696745289704e+01
-3.987935601710505296e+01,5.008800649870289590e+01
-3.971117154933161686e+01,5.005663154508961554e+01
-3.954296939356989782e+01,5.002534856901539229e+01
-3.937474954981990294e+01,4.999416110807790403e+01
-3.920650848048396142e+01,4.996306916227712236e+01
-3.903824972315974406e+01,4.993207626921071096e+01
-3.886997327784724376e+01,4.990117889128102036e+01
-3.870167914454646052e+01,4.987038056608571424e+01
-3.853336378565974485e+01,4.983968483122242787e+01
-3.836502720118708964e+01,4.980908814909352600e+01
-3.819666939112849491e+01,4.977859405729664388e+01
-3.802829389308161723e+01,4.974819901823414625e+01
-3.785989716944880712e+01,4.971791364469899577e+01
-3.769147922023005748e+01,4.968774147428884191e+01
-3.752303650782771172e+01,4.965768958219899787e+01
-3.735457256983943353e+01,4.962776858122242629e+01
-3.718608386866755922e+01,4.959798554655445457e+01
-3.701757394190974537e+01,4.956834755339039589e+01
-3.684903571437067882e+01,4.953886521452321290e+01
-3.668047272364802325e+01,4.950954560514820457e+01
-3.651188496974177156e+01,4.948039580046071251e+01
-3.634326891505427426e+01,4.945142641325368515e+01
-3.617462455958552425e+01,4.942264451872243569e+01
-3.600595190333552154e+01,4.939406072965992678e+01
-3.583725094630427321e+01,4.936567858366383632e+01
-3.566851815089411559e+01,4.933750869352711277e+01
-3.549975705470271237e+01,4.930955813444508351e+01
-3.533096765773005643e+01,4.928183751921071121e+01
-3.516214288478083461e+01,4.925435392301930904e+01
-3.499328627345271059e+01,4.922711442106617596e+01
-3.482439428614802779e+01,4.920012962614430307e+01
-3.465547046046442858e+01,4.917340661344898933e+01
